?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/FBbi_00000363>		
<http://purl.obolibrary.org/obo/FBbi_00000242>		
<http://purl.obolibrary.org/obo/BFO_0000017>	"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances."@en	
<http://purl.obolibrary.org/obo/FBbi_00000484>		
<http://purl.obolibrary.org/obo/FBbi_00000593>		
<http://purl.obolibrary.org/obo/FBbi_00000472>		
<http://purl.obolibrary.org/obo/FBbi_00000387>		
<http://purl.obolibrary.org/obo/FBbi_00000048>		
<http://purl.obolibrary.org/obo/FBbi_00000157>		
<http://purl.obolibrary.org/obo/FBbi_00000169>		
<http://purl.obolibrary.org/obo/FBbi_00000036>		
<http://purl.obolibrary.org/obo/FBbi_00000496>		
<http://purl.obolibrary.org/obo/FBbi_00000024>		
<http://purl.obolibrary.org/obo/FBbi_00000254>		
<http://purl.obolibrary.org/obo/FBbi_00000133>		
<http://purl.obolibrary.org/obo/FBbi_00000375>		
<http://purl.obolibrary.org/obo/FBbi_00000145>		
<http://purl.obolibrary.org/obo/FBbi_00000012>		
<http://purl.obolibrary.org/obo/FBbi_00000453>	"fluorophore with ex/em 589/615"	
<http://purl.obolibrary.org/obo/FBbi_00001003>	"Tomography using X-ray illumination."	
<http://purl.obolibrary.org/obo/FBbi_00000354>	"a computational method that is linear in the mathematical sense, meaning that image intensity is conserved and the data remain suitable for all quantitative analyses"	
<http://purl.obolibrary.org/obo/FBbi_00000120>		
<http://purl.obolibrary.org/obo/FBbi_00000471>		
<http://purl.obolibrary.org/obo/FBbi_00000362>		
<http://purl.obolibrary.org/obo/FBbi_00000011>		
<http://purl.obolibrary.org/obo/FBbi_00000592>		
<http://purl.obolibrary.org/obo/FBbi_00000374>		
<http://purl.obolibrary.org/obo/FBbi_00000253>		
<http://purl.obolibrary.org/obo/FBbi_00000132>		
<http://purl.obolibrary.org/obo/FBbi_00000399>	"visualization by exclusion of a stain in which the specimen is immersed; compare with \"positive staining."	
<http://purl.obolibrary.org/obo/FBbi_00000495>		
<http://purl.obolibrary.org/obo/FBbi_00000483>		
<http://purl.obolibrary.org/obo/FBbi_00000350>		
<http://purl.obolibrary.org/obo/FBbi_00000168>		
<http://purl.obolibrary.org/obo/FBbi_00000059>		
<http://purl.obolibrary.org/obo/FBbi_00000386>		
<http://purl.obolibrary.org/obo/FBbi_00000047>		
<http://purl.obolibrary.org/obo/FBbi_00000035>		
<http://purl.obolibrary.org/obo/FBbi_00000144>		
<http://purl.obolibrary.org/obo/FBbi_00000156>		
<http://purl.obolibrary.org/obo/FBbi_00000023>		
<http://purl.obolibrary.org/obo/FBbi_00000372>	"image created using the electrons generated by ionization of a sample due to inelastic scattering of the primary beam of radiation"	
<http://purl.obolibrary.org/obo/FBbi_00000088>	"visualization of the connected regions of a cell by filling with a label"	
<http://purl.obolibrary.org/obo/FBbi_00000287>	"illumination by multiple points of light simultaneously"	
<http://purl.obolibrary.org/obo/FBbi_00000371>	"optical coherence tomography; an interferometric method of imaging using back-scattered photons (elastic scattering)"	
<http://purl.obolibrary.org/obo/FBbi_00000341>		
<http://purl.obolibrary.org/obo/FBbi_00000220>		
<http://purl.obolibrary.org/obo/FBbi_00000462>		
<http://purl.obolibrary.org/obo/FBbi_00000450>		
<http://purl.obolibrary.org/obo/FBbi_00000571>		
<http://purl.obolibrary.org/obo/FBbi_00000135>		
<http://purl.obolibrary.org/obo/FBbi_00000486>		
<http://purl.obolibrary.org/obo/FBbi_00000377>		
<http://purl.obolibrary.org/obo/FBbi_00000026>		
<http://purl.obolibrary.org/obo/FBbi_00000256>		
<http://purl.obolibrary.org/obo/FBbi_00000147>		
<http://purl.obolibrary.org/obo/FBbi_00000014>		
<http://purl.obolibrary.org/obo/FBbi_00000595>		
<http://purl.obolibrary.org/obo/FBbi_00000474>		
<http://purl.obolibrary.org/obo/FBbi_00000002>		
<http://purl.obolibrary.org/obo/FBbi_00000232>		
<http://purl.obolibrary.org/obo/FBbi_00000389>		
<http://purl.obolibrary.org/obo/FBbi_00000498>		
<http://purl.obolibrary.org/obo/FBbi_00000111>		
<http://purl.obolibrary.org/obo/FBbi_00000123>		
<http://purl.obolibrary.org/obo/FBbi_00001006>		
<http://purl.obolibrary.org/obo/FBbi_00000159>		
<http://purl.obolibrary.org/obo/FBbi_00000038>		
<http://purl.obolibrary.org/obo/FBbi_00000570>		
<http://purl.obolibrary.org/obo/FBbi_00000110>		
<http://purl.obolibrary.org/obo/FBbi_00000352>		
<http://purl.obolibrary.org/obo/FBbi_00000231>		
<http://purl.obolibrary.org/obo/FBbi_00000594>		
<http://purl.obolibrary.org/obo/FBbi_00000473>		
<http://purl.obolibrary.org/obo/FBbi_00000461>		
<http://purl.obolibrary.org/obo/FBbi_00000146>		
<http://purl.obolibrary.org/obo/FBbi_00000497>		
<http://purl.obolibrary.org/obo/FBbi_00000485>		
<http://purl.obolibrary.org/obo/FBbi_00000279>		
<http://purl.obolibrary.org/obo/FBbi_00000158>		
<http://purl.obolibrary.org/obo/FBbi_00000013>		
<http://purl.obolibrary.org/obo/FBbi_00000243>		
<http://purl.obolibrary.org/obo/FBbi_00000122>		
<http://purl.obolibrary.org/obo/FBbi_00000255>		
<http://purl.obolibrary.org/obo/FBbi_00000134>		
<http://purl.obolibrary.org/obo/FBbi_00000001>		
<http://purl.obolibrary.org/obo/FBbi_00000376>		
<http://purl.obolibrary.org/obo/FBbi_00000388>		
<http://purl.obolibrary.org/obo/FBbi_00000267>	"A form of graphical illustration that changes with time to give a sense of motion or represent dynamic changes in the portrayal."	
<http://purl.obolibrary.org/obo/FBbi_00000049>		
<http://purl.obolibrary.org/obo/FBbi_00000044>		
<http://purl.obolibrary.org/obo/FBbi_00000274>		
<http://purl.obolibrary.org/obo/FBbi_00000153>		
<http://purl.obolibrary.org/obo/FBbi_00000492>		
<http://purl.obolibrary.org/obo/FBbi_00000165>		
<http://purl.obolibrary.org/obo/FBbi_00000032>		
<http://purl.obolibrary.org/obo/FBbi_00000020>		
<http://purl.obolibrary.org/obo/FBbi_00000250>		
<http://purl.obolibrary.org/obo/FBbi_00000395>		
<http://purl.obolibrary.org/obo/FBbi_00000141>		
<http://purl.obolibrary.org/obo/FBbi_00000298>		
<http://purl.obolibrary.org/obo/FBbi_00000177>		
<http://purl.obolibrary.org/obo/FBbi_00000068>		
<http://purl.obolibrary.org/obo/FBbi_00000189>		
<http://purl.obolibrary.org/obo/FBbi_00000056>		
<http://purl.obolibrary.org/obo/FBbi_00000480>		
<http://purl.obolibrary.org/obo/FBbi_00001012>		
<http://purl.obolibrary.org/obo/FBbi_00000244>	"imaging with rejection of the unscattered illumination (removal of the zero order component of the diffracted wave)"	
<http://purl.obolibrary.org/obo/FBbi_00000164>		
<http://purl.obolibrary.org/obo/FBbi_00000394>		
<http://purl.obolibrary.org/obo/FBbi_00000055>		
<http://purl.obolibrary.org/obo/FBbi_00000285>		
<http://purl.obolibrary.org/obo/FBbi_00000382>		
<http://purl.obolibrary.org/obo/FBbi_00000297>		
<http://purl.obolibrary.org/obo/FBbi_00000176>		
<http://purl.obolibrary.org/obo/FBbi_00000043>		
<http://purl.obolibrary.org/obo/FBbi_00000031>		
<http://purl.obolibrary.org/obo/FBbi_00000261>		
<http://purl.obolibrary.org/obo/FBbi_00000140>		
<http://purl.obolibrary.org/obo/FBbi_00000273>		
<http://purl.obolibrary.org/obo/FBbi_00000152>		
<http://purl.obolibrary.org/obo/FBbi_00000079>		
<http://purl.obolibrary.org/obo/FBbi_00000188>		
<http://purl.obolibrary.org/obo/FBbi_00000067>		
<http://purl.obolibrary.org/obo/FBbi_00000355>	"computational method that are mathematically non-linear; image intensity is not conserved, and the data are in general not suitable for quantitative analyses of pixel values"	
<http://purl.obolibrary.org/obo/FBbi_00000491>		
<http://purl.obolibrary.org/obo/IAO_0000078>	"The curation status of the term. The allowed values come from an enumerated list of predefined terms. See the specification of these instances for more detailed definitions of each enumerated value."@en	
<http://purl.obolibrary.org/obo/FBbi_00000609>		
<http://purl.obolibrary.org/obo/FBbi_00000089>	"Fully hydrated tissue rapidly frozen to produce vitrified water, and maintained continuously below the glass transition temperature of water (approximately -137 deg C"	
<http://purl.obolibrary.org/obo/FBbi_00000583>	"specimen from which water has been removed by evaporation under vacuum at a temperature below freezing."	
<http://purl.obolibrary.org/obo/FBbi_00000022>		
<http://purl.obolibrary.org/obo/FBbi_00000252>		
<http://purl.obolibrary.org/obo/FBbi_00000131>		
<http://purl.obolibrary.org/obo/FBbi_00000482>		
<http://purl.obolibrary.org/obo/FBbi_00000143>		
<http://purl.obolibrary.org/obo/FBbi_00000010>		
<http://purl.obolibrary.org/obo/FBbi_00000591>		
<http://purl.obolibrary.org/obo/FBbi_00000470>		
<http://purl.obolibrary.org/obo/FBbi_00000385>		
<http://purl.obolibrary.org/obo/FBbi_00000361>		
<http://purl.obolibrary.org/obo/FBbi_00000494>		
<http://purl.obolibrary.org/obo/FBbi_00000179>		
<http://purl.obolibrary.org/obo/FBbi_00000058>		
<http://purl.obolibrary.org/obo/FBbi_00000046>		
<http://purl.obolibrary.org/obo/FBbi_00000276>		
<http://purl.obolibrary.org/obo/FBbi_00000155>		
<http://purl.obolibrary.org/obo/FBbi_00000167>		
<http://purl.obolibrary.org/obo/FBbi_00000034>		
<http://purl.obolibrary.org/obo/FBbi_00000391>	"illumination in the shape of a thin line that is swept over the field of view"	
<http://purl.obolibrary.org/obo/FBbi_00001002>		"http://en.wikipedia.org/wiki/X-ray_computed_tomography MeSH:D014057"
<http://purl.obolibrary.org/obo/FBbi_00000580>	"electrons generated by inelastic scattering of other radiation, the primary radiation."	
<http://purl.obolibrary.org/obo/FBbi_00000142>		
<http://purl.obolibrary.org/obo/FBbi_00000493>		
<http://purl.obolibrary.org/obo/FBbi_00000033>		
<http://purl.obolibrary.org/obo/FBbi_00000275>		
<http://purl.obolibrary.org/obo/FBbi_00000365>	"Fluorescence loss in photobleaching; a method of determining whether two populations of fluorophore are in diffusive communication with one another by observing the decrease in brightness of one population when the other population is subjected to continuous photobleaching."	
<http://purl.obolibrary.org/obo/FBbi_00000154>		
<http://purl.obolibrary.org/obo/FBbi_00000021>		
<http://purl.obolibrary.org/obo/FBbi_00000481>		
<http://purl.obolibrary.org/obo/FBbi_00000360>		
<http://purl.obolibrary.org/obo/FBbi_00000384>		
<http://purl.obolibrary.org/obo/FBbi_00000251>		
<http://purl.obolibrary.org/obo/FBbi_00000130>		
<http://purl.obolibrary.org/obo/FBbi_00000069>		
<http://purl.obolibrary.org/obo/FBbi_00000057>		
<http://purl.obolibrary.org/obo/FBbi_00000166>		
<http://purl.obolibrary.org/obo/FBbi_00000178>		
<http://purl.obolibrary.org/obo/FBbi_00000045>		
<http://purl.obolibrary.org/obo/FBbi_00000299>		
<http://purl.obolibrary.org/obo/GO_0016301>	"Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule."	"Reactome:R-HSA-6788855 Reactome:R-HSA-6788867"
<http://purl.obolibrary.org/obo/FBbi_00000579>	"A fragment of a cell, subcellular organelle, or macromolecular complex."	
<http://purl.obolibrary.org/obo/FBbi_00000197>		
<http://purl.obolibrary.org/obo/FBbi_00000076>		
<http://purl.obolibrary.org/obo/FBbi_00000064>		
<http://purl.obolibrary.org/obo/FBbi_00000294>		
<http://purl.obolibrary.org/obo/FBbi_00000173>		
<http://purl.obolibrary.org/obo/FBbi_00000185>		
<http://purl.obolibrary.org/obo/FBbi_00000052>		
<http://purl.obolibrary.org/obo/FBbi_00000040>		
<http://purl.obolibrary.org/obo/FBbi_00000282>		
<http://purl.obolibrary.org/obo/FBbi_00000161>		
<http://purl.obolibrary.org/obo/FBbi_00000618>		
<http://purl.obolibrary.org/obo/FBbi_00000509>		
<http://purl.obolibrary.org/obo/FBbi_00000606>		
<http://purl.obolibrary.org/obo/FBbi_00000099>		
<http://purl.obolibrary.org/obo/FBbi_00000087>		
<http://purl.obolibrary.org/obo/FBbi_00000184>		
<http://purl.obolibrary.org/obo/FBbi_00000075>		
<http://purl.obolibrary.org/obo/FBbi_00000196>		
<http://purl.obolibrary.org/obo/FBbi_00000063>		
